day,total_posts,posts_with_parsed_comments,commented_post_share,parsed_comment_rows,unique_sources_with_comments
2025-07-01,264,186,0.7045454545454546,0,0
2025-07-02,235,173,0.7361702127659574,0,0
2025-07-03,252,197,0.7817460317460317,0,0
2025-07-04,223,165,0.7399103139013453,0,0
2025-07-05,240,181,0.7541666666666667,0,0
2025-07-06,244,188,0.7704918032786885,0,0
2025-07-07,270,199,0.737037037037037,0,0
2025-07-08,244,171,0.7008196721311475,0,0
2025-07-09,237,181,0.7637130801687764,0,0
2025-07-10,226,167,0.7389380530973452,0,0
2025-07-11,281,217,0.7722419928825622,0,0
2025-07-12,231,178,0.7705627705627706,0,0
2025-07-13,220,151,0.6863636363636364,0,0
2025-07-14,307,243,0.7915309446254072,0,0
2025-07-15,247,173,0.7004048582995951,0,0
2025-07-16,267,184,0.6891385767790262,0,0
2025-07-17,227,170,0.748898678414097,0,0
2025-07-18,282,198,0.7021276595744681,0,0
2025-07-19,215,152,0.7069767441860465,0,0
2025-07-20,269,201,0.7472118959107806,0,0
2025-07-21,244,175,0.7172131147540983,0,0
2025-07-22,239,189,0.7907949790794979,0,0
2025-07-23,276,204,0.7391304347826086,0,0
2025-07-24,261,194,0.7432950191570882,0,0
2025-07-25,266,197,0.7406015037593985,0,0
2025-07-26,233,166,0.7124463519313304,0,0
2025-07-27,261,192,0.735632183908046,0,0
2025-07-28,215,157,0.7302325581395349,0,0
2025-07-29,72,61,0.8472222222222222,0,0
2025-07-30,82,63,0.7682926829268293,0,0
2025-07-31,94,71,0.7553191489361702,0,0
2025-08-01,111,79,0.7117117117117117,0,0
2025-08-02,105,68,0.6476190476190476,0,0
2025-08-03,127,73,0.5748031496062992,0,0
2025-08-04,118,80,0.6779661016949152,0,0
2025-08-05,122,0,0.0,0,0
2025-08-06,120,0,0.0,0,0
2025-08-07,121,0,0.0,0,0
2025-08-08,120,0,0.0,0,0
2025-08-09,120,0,0.0,0,0
2025-08-10,120,0,0.0,0,0
2025-08-11,124,0,0.0,0,0
2025-08-12,287,122,0.4250871080139373,0,0
2025-08-13,117,90,0.7692307692307693,0,0
2025-08-14,130,103,0.7923076923076923,0,0
2025-08-15,143,117,0.8181818181818182,0,0
2025-08-16,94,75,0.7978723404255319,0,0
2025-08-17,159,129,0.8113207547169812,0,0
2025-08-18,154,129,0.8376623376623377,0,0
2025-08-19,321,247,0.7694704049844237,0,0
2025-08-20,286,213,0.7447552447552448,0,0
2025-08-21,305,229,0.7508196721311475,0,0
2025-08-22,318,246,0.7735849056603774,0,0
2025-08-23,236,172,0.7288135593220338,0,0
2025-08-24,234,179,0.7649572649572649,0,0
2025-08-25,266,199,0.7481203007518797,0,0
2025-08-26,227,166,0.7312775330396476,0,0
2025-08-27,276,209,0.7572463768115942,0,0
2025-08-28,305,225,0.7377049180327869,0,0
2025-08-29,281,214,0.7615658362989324,0,0
2025-08-30,291,231,0.7938144329896907,0,0
2025-08-31,286,218,0.7622377622377622,0,0
2025-09-01,244,193,0.7909836065573771,0,0
2025-09-02,132,106,0.803030303030303,0,0
2025-09-03,146,99,0.678082191780822,0,0
2025-09-04,332,238,0.7168674698795181,0,0
2025-09-05,234,177,0.7564102564102564,0,0
2025-09-06,209,149,0.7129186602870813,0,0
2025-09-07,357,265,0.742296918767507,0,0
2025-09-08,1632,1265,0.7751225490196079,0,0
