day,posts_3d,event_posts_3d,social_media_ban,grievance,gen_z,mobilization,government,explicit_event_details,exact_date_mentions,exact_place_mentions,call_to_action_mentions,narrative_convergence,education_noise_posts,unique_sources,engagement_sum,topic_growth_ratio,social_component,grievance_component,mobilization_component,specificity_component,diversity_component,growth_component,engagement_component,noise_penalty,narrative_pressure_score,narrative_pressure_probability,event_readiness_score,event_probability,top_sources,top_terms
2025-07-01,38,38,7,23,13,33,12,0,5,1,2,3,3,31,12424,102.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.05,0.0,0.05,Facebook search: Kathmandu प्रधानमन्त्री:3; Facebook search: Kathmandu احتجاج:3; Facebook search: नेपाली युवा:2; Facebook search: Kathmandu youth:2; Facebook search: Nepal احتجاج:2,mobilization:33; नेपाल:24; Gen Z:13; government:12; corruption:11; social media ban:7
2025-07-02,68,68,15,34,22,60,23,1,11,2,4,6,3,47,14263,178.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.05,0.0,0.05,Facebook search: Kathmandu प्रधानमन्त्री:4; Facebook search: नेपाली विद्यार्थी:4; Facebook search: Kathmandu احتجاج:3; Facebook search: نیپال نوجوان:3; Facebook search: नेपाली प्रधानमन्त्री:3,mobilization:60; नेपाल:45; government:23; Gen Z:22; social media ban:15; corruption:13
2025-07-03,108,108,19,57,36,99,35,1,19,4,4,11,5,69,19716,283.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.05,0.0,0.05,Facebook search: नेपाली युवा:7; Facebook search: नेपाली भ्रष्टाचार:5; Facebook search: नेपाली विद्यार्थी:5; Facebook search: Kathmandu प्रधानमन्त्री:4; Facebook search: नेपाल प्रधानमन्त्री:4,mobilization:99; नेपाल:76; Gen Z:36; government:35; corruption:22; social media ban:19
2025-07-04,117,117,17,55,36,109,45,0,22,4,3,12,5,74,25481,13.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.05,0.0,0.05,Facebook search: नेपाली युवा:6; Facebook search: नेपाली प्रधानमन्त्री:5; Facebook search: नेपाली विद्यार्थी:5; Facebook search: नेपाली भ्रष्टाचार:5; Facebook search: नेपाल प्रधानमन्त्री:5,mobilization:109; नेपाल:87; government:45; Gen Z:36; प्रधानमन्त्री:23; corruption:19
2025-07-05,132,132,17,70,44,126,52,0,21,4,1,16,7,70,38806,9.1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.05,0.0,0.05,Facebook search: नेपाल प्रधानमन्त्री:7; Facebook search: नेपाली युवा:6; Facebook search: नेपाली भ्रष्टाचार:5; Facebook search: नेपाल भ्रष्टाचार:5; Facebook search: नेपाल केपी शर्मा ओली:5,mobilization:126; नेपाल:103; government:52; Gen Z:43; corruption:30; प्रधानमन्त्री:28
2025-07-06,131,131,19,71,53,122,53,0,21,2,2,14,9,69,57615,5.7765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.05,0.0,0.05,Facebook search: नेपाली प्रधानमन्त्री:6; Facebook search: नेपाल प्रधानमन्त्री:6; Facebook search: नेपाल युवा:5; Facebook search: नेपाल विद्यार्थी:5; Facebook search: नेपाल भ्रष्टाचार:4,mobilization:122; नेपाल:105; government:53; Gen Z:51; प्रधानमन्त्री:30; corruption:23
2025-07-07,125,125,24,73,56,118,40,0,26,1,2,22,8,74,59671,3.9244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.05,0.0,0.05,Facebook search: नेपाल विद्यार्थी:5; Facebook search: नेपाली छात्र:4; Facebook search: नेपाल प्रधानमन्त्री:4; Facebook search: नेपाल युवा:4; Facebook search: नेपाली corruption:4,mobilization:118; नेपाल:101; Gen Z:54; government:40; social media ban:24; युवा:23
2025-07-08,115,115,22,66,55,102,37,1,26,1,4,19,6,70,62689,2.6456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.05,0.0,0.05,Facebook search: नेपाली विद्यार्थी:6; Facebook search: नेपाल विद्यार्थी:5; Facebook search: नेपाल आन्दोलन:4; Facebook search: नेपाली प्रधानमन्त्री:3; Facebook search: नेपाल प्रधानमन्त्री:3,mobilization:102; नेपाल:90; Gen Z:53; government:37; युवा:24; social media ban:22
2025-07-09,111,111,22,65,50,97,35,1,21,3,4,23,5,68,53723,2.1492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.05,0.0,0.05,Facebook search: नेपाली विद्यार्थी:5; Facebook search: नेपाली युवा:4; Facebook search: नेपाल parliament:4; Facebook search: नेपाली राजीनामा:4; Facebook search: Kathmandu aandolan:3,mobilization:97; नेपाल:83; Gen Z:49; government:35; युवा:26; social media ban:22
2025-07-10,99,99,16,55,46,84,38,0,13,5,4,14,4,59,41916,1.6211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.05,0.0,0.05,Facebook search: नेपाली युवा:6; Facebook search: नेपाली विद्यार्थी:5; Facebook search: नेपाल प्रधानमन्त्री:4; Facebook search: नेपाली students:4; Facebook search: नेपाली andolan:4,mobilization:84; नेपाल:72; Gen Z:44; government:38; युवा:23; प्रधानमन्त्री:17
2025-07-11,117,117,18,66,50,107,40,0,11,5,3,15,7,68,36732,1.7348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.05,0.0,0.05,Facebook search: नेपाली युवा:6; Facebook search: नेपाल विद्यार्थी:6; Facebook search: नेपाल राजीनामा:5; Facebook search: नेपाली andolan:4; Facebook search: नेपाल प्रधानमन्त्री:4,mobilization:107; नेपाल:88; Gen Z:49; government:40; युवा:20; corruption:18
2025-07-12,123,123,28,66,51,114,35,0,12,5,2,16,5,69,27555,1.6524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.05,0.0,0.05,Facebook search: नेपाल दर्ता:7; Facebook search: नेपाल विद्यार्थी:6; Facebook search: नेपाल राजीनामा:5; Facebook search: नेपाली युवा:4; Facebook search: नेपाली प्रधानमन्त्री:4,mobilization:113; नेपाल:88; Gen Z:47; government:35; social media ban:28; विद्यार्थी:18
2025-07-13,125,125,34,69,52,116,32,0,10,4,1,18,6,69,31896,1.5797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.05,0.0,0.05,Facebook search: नेपाल दर्ता:11; Facebook search: नेपाली प्रधानमन्त्री:6; Facebook search: नेपाल राजीनामा:5; Facebook search: नेपाल विद्यार्थी:5; Facebook search: Kathmandu विद्यार्थी:4,mobilization:115; नेपाल:94; Gen Z:49; social media ban:34; government:32; विद्यार्थी:23
2025-07-14,127,127,37,71,58,117,31,0,15,5,1,26,12,69,32005,1.4221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.05,0.0,0.05,Facebook search: नेपाल दर्ता:11; Facebook search: नेपाली इस्तीफा:7; Facebook search: Maitighar:4; Facebook search: नेपाल युवा:4; Facebook search: नेपाली प्रधानमन्त्री:4,mobilization:116; नेपाल:96; Gen Z:53; social media ban:37; government:31; विद्यार्थी:28
2025-07-15,123,123,29,66,52,114,43,0,13,3,1,22,11,70,43834,1.2655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.05,0.0,0.05,Facebook search: नेपाली इस्तीफा:11; Facebook search: नेपाल दर्ता:6; Facebook search: नेपाली students:6; Facebook search: नेपाली प्रधानमन्त्री:5; Facebook search: नेपाल भ्रष्टाचार:4,mobilization:114; नेपाल:102; Gen Z:50; government:43; विद्यार्थी:29; social media ban:29
2025-07-16,157,157,30,84,65,141,62,0,24,4,3,33,12,85,47280,1.4938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.05,0.0,0.05,Facebook search: नेपाली इस्तीफा:8; Facebook search: नेपाली students:6; Facebook search: नेपाल विद्यार्थी:5; Facebook search: नेपाली भ्रष्टाचार:5; Facebook search: नेपाली विद्यार्थी:5,mobilization:141; नेपाल:117; Gen Z:62; government:62; social media ban:30; विद्यार्थी:28
2025-07-17,138,138,32,68,47,122,59,0,20,2,2,28,3,77,39951,1.1817,3.23,2.72,1.0,19.6,0.0,0.73,0.03,0.26,27.04,0.2934,27.04,0.2934,Facebook search: नेपाली भ्रष्टाचार:6; Facebook search: नेपाली विद्यार्थी:5; Facebook search: Oli government:5; Facebook search: Kathmandu युवा:5; Facebook search: नेपाली इस्तीफा:4,mobilization:122; नेपाल:100; government:59; Gen Z:46; social media ban:32; प्रधानमन्त्री:27
2025-07-18,153,153,34,76,53,137,64,0,30,3,2,35,6,83,33576,1.2981,3.86,3.94,2.2,24.0,0.0,1.19,0.0,0.47,34.73,0.3626,34.73,0.3626,Facebook search: नेपाली युवा:7; Facebook search: नेपाली भ्रष्टाचार:6; Facebook search: नेपाल प्रधानमन्त्री:6; Facebook search: Oli government:5; Facebook search: नेपाली ओली सरकार:5,mobilization:136; नेपाल:110; government:64; Gen Z:50; social media ban:34; प्रधानमन्त्री:31
2025-07-19,130,130,35,62,44,119,54,0,22,1,0,25,14,68,38638,1.0559,3.89,1.39,0.24,17.5,0.0,0.22,0.0,1.29,21.94,0.2475,21.94,0.2475,Facebook search: नेपाली युवा:9; Facebook search: नेपाली भ्रष्टाचार:6; Facebook search: नेपाल प्रधानमन्त्री:5; Facebook search: नेपाली ओली सरकार:5; Facebook search: नेपाल छात्र:5,mobilization:117; नेपाल:100; government:54; Gen Z:41; social media ban:35; युवा:23
2025-07-20,138,138,27,72,59,125,57,0,27,1,2,26,20,67,45025,1.1099,0.29,2.71,0.81,18.2,0.0,0.44,0.07,1.74,20.77,0.2369,20.77,0.2369,Facebook search: नेपाल युवा:10; Facebook search: नेपाली युवा:8; Facebook search: नेपाली राजीनामा:8; Facebook search: नेपाल विद्यार्थी:7; Facebook search: नेपाली ओली सरकार:5,mobilization:123; नेपाल:108; government:57; Gen Z:55; social media ban:27; युवा:27
2025-07-21,121,121,32,65,55,109,38,0,22,1,4,28,18,62,41246,0.9642,1.54,1.1,0.0,19.6,0.0,0.0,0.0,1.79,20.45,0.234,20.45,0.234,Facebook search: नेपाली राजीनामा:8; Facebook search: नेपाली युवा:6; Facebook search: नेपाल विद्यार्थी:6; Facebook search: नेपाल युवा:6; Facebook search: नेपाली प्रधानमन्त्री:5,mobilization:107; नेपाल:88; Gen Z:52; government:38; social media ban:32; विद्यार्थी:23
